Heure;CA;ventes;Vendeurs;Panier Moyen
0h-1h;10857050;429;2;25307.8088578089
1h-2h;7589250;316;2;24016.6139240506
2h-3h;3659000;242;2;15119.8347107438
3h-4h;2323250;197;2;11793.1472081218
4h-5h;816750;145;2;5632.75862068965
5h-6h;507500;90;2;5638.88888888889
6h-7h;8500;16;1;531.25
17h-18h;0;1;1;0
18h-19h;44500;9;2;4944.44444444444
19h-20h;1200500;103;2;11655.3398058252
20h-21h;2123400;161;2;13188.8198757764
21h-22h;4344550;245;2;17732.8571428571
22h-23h;7550800;357;2;21150.700280112
23h-24h;11001700;424;2;25947.4056603774

