Heure;CA;ventes;Vendeurs;Panier Moyen;Mois;Année
;;;;;Janvier;2024
0h-1h;68317300;2309;5;"29587,39714";Janvier;2024
;;;;;Janvier;2024
1h-2h;48763700;2005;5;"24321,04738";Janvier;2024
;;;;;Janvier;2024
2h-3h;28342400;1722;5;"16459,00116";Janvier;2024
;;;;;Janvier;2024
3h-4h;15043750;1152;5;"13058,81076";Janvier;2024
;;;;;Janvier;2024
4h-5h;4312000;666;5;"6474,474474";Janvier;2024
;;;;;Janvier;2024
5h-6h;530750;380;5;"1396,710526";Janvier;2024
;;;;;Janvier;2024
6h-7h;312250;95;2;"3286,842105";Janvier;2024
;;;;;Janvier;2024
7h-8h;10000;6;1;"1666,666667";Janvier;2024
;;;;;Janvier;2024
8h-9h;0;1;1;0;Janvier;2024
;;;;;Janvier;2024
12h-13h;0;3;1;0;Janvier;2024
;;;;;Janvier;2024
13h-14h;0;1;1;0;Janvier;2024
;;;;;Janvier;2024
15h-16h;0;1;1;0;Janvier;2024
;;;;;Janvier;2024
16h-17h;4000;4;1;1000;Janvier;2024
;;;;;Janvier;2024
17h-18h;618550;58;3;"10664,65517";Janvier;2024
;;;;;Janvier;2024
18h-19h;2558500;220;5;"11629,54545";Janvier;2024
;;;;;Janvier;2024
19h-20h;7407400;617;5;"12005,51053";Janvier;2024
;;;;;Janvier;2024
20h-21h;15744550;1034;6;"15226,83752";Janvier;2024
;;;;;Janvier;2024
21h-22h;28031100;1426;6;"19657,15288";Janvier;2024
;;;;;Janvier;2024
22h-23h;39333100;1883;5;"20888,52894";Janvier;2024
;;;;;Janvier;2024
23h-24h;64579750;2385;5;"27077,46331";Janvier;2024
